623473487A,ITALY,3/29/2018,4320
623473487A,ITALY,4/2/2018,2040
623473487A,ITALY,4/9/2018,2160
6234734GFA,002278,4/11/2018,10
6234734HVA,ITALY,3/29/2018,3000
6234734HVA,ITALY,4/2/2018,2400
6234734HVA,ITALY,4/9/2018,2040
628362900G,NSE417,3/29/2018,90
628362900G,NSE417,3/30/2018,60
628362900G,NSE417,4/3/2018,90
628362900G,NSE417,4/4/2018,120
628362900G,NSE417,4/6/2018,120
628362900G,NSE417,4/9/2018,210
628362900G,NSE417,4/10/2018,90
628362900G,NSE417,4/11/2018,60
628363000G,NSE417,3/29/2018,60
629427100C,NSE101,3/30/2018,60
629427200C,NSE101,4/3/2018,60
630190800D,TOS101,4/4/2018,60
630190900D,TOS101,4/6/2018,60
630721400E,AI2A01,4/9/2018,60
630721500E,AI2A01,4/10/2018,60
633726700B,NSE101,4/11/2018,60
633726900B,NSE101,3/29/2018,60
634162000B,TOS101,3/30/2018,60
634162100B,TOS101,4/3/2018,60
634799702A,002278,4/4/2018,60
635259400C,SWINDN,4/6/2018,60
635262000C,SWINDN,4/9/2018,60
635419100B,TOS101,4/10/2018,60
635419100B,SPS202,4/11/2018,60
635419100B,OSL101,3/29/2018,60
635419100B,OSL104,3/30/2018,60
635419500B,TOS101,4/3/2018,60
635419500B,SPS202,4/4/2018,60
635419500B,OSL101,4/6/2018,60
,,,
,,,
,,,
